コネクター不具合、充電不能,O99
カメラが押していないのにシャッターが切られる。合わせてicカードを差し込むキャップ、充電キャップが外れてしまっているため修理希望。電池の消耗が激しいのでそこも改善希望。金額いくらかかるか見積もりからお願いします。,O99
一度電源が入りましたが、温度以上エラーがでるため画面がつかない。,O99
7月24日購入日の夜から、本体が「カッカッ」(充電中はピンという音)という音がしだした。画面を確認すると暗転した画面に「simカード読み込み中」というメッセージが点滅して出てきている症状が発生。操作不能のまま電源が切れたところ症状の改善が見られた。しかしその後も同症状が何度も発生。最大で2日間ほど出なかったことがあるが、電源再起動するまで同症状の改善はなし。一日に二度症状が発生することもあり。8月にauショップに持参し一度預かり修理を行うも、症状が継続するため、今回は詳細修理を希望。店頭での再現はないが、,O99
ロックナンバー忘れてしまい解除不可。,O99
買った当初から不具合が起きていて一度お届けサービスをご利用されいます。お電話していても自分の声が反響して聞こえてきてしまう。通話が途中で切れてしまったり、保留に勝手になってしまったりなど。会話が出来なくなってしまうことが多々あるということです。最初からこういった症状でなおかつ一度お届けサービス利用しても不具合が見られてしまうというのはおかしいのではないか、ということですので再現なしで戻ってこないよう隅々までお調べいただくようにお願いします。満充電希望。,O99
端末操作無効表示がでて、操作不能。,O99
電源投入不可,O99
電波が入りにくい。また、圏外になることが多く、電話中に圏外になり通話が途切れることがある。本体が熱くなることも。,O99
カメラが勝手に起動する。通話中に勝手にスピーカーになる。充電のカバーが取れた。水に濡れた。,O99
筺体破損・lcd表示不良・充電端子部蓋破損,O99
背面の通知ledの点滅が消えない。不在や未読メールがない状態でもledが点滅している。再起動すると改善される。購入当初から同症状が出ているので点検兼ねて修理。,O99
水濡れによる、電源が入らない。コネクタキャップも破損している,O99
前回使用した機種にて卓上ホルダーにて充電をしていたが、下部の充電部分が傷ついていたので充電できなかった可能性がある。前回機種は交換サービスにて交換したが、交換後の機種でも同一症状がでないか確認をしてほしい。 ◎卓上ホルダとac03のセットを2組同封します。あわせて確認をお願いします。,O99
lcd表示不良・機体一部破損(液晶・ボタン等)・画面が真っ黒のままで反応がないことが頻繁に起こる,O99
icカードトレーが緩いのか、浮いてしまう。,O99
画面が映らず、バイブレーションがずっと鳴っている。返却時満充電でお願いします,O99
筐体破損・コネクタキャップが欠損,O99
ロック画面よりパスワード消失のため操作不可,O99
lcd破損の為、そして、充電すると、本体が熱くなる。また、コネクタキャップがなくなった。,O99
画面の電話ボタンの反応が悪い。押しても反応しない。再起動で改善する場合もあるがしない時もある,O99
水濡れシール反応。,O99
スマートパス等のアプリがエラーが出てホーム画面まで戻される。強制再起動、ic脱着、アプリ自体のデータ消去などしても改善されない。購入当初より電池もちが悪い,O99
icカードをsdカードの所へ入れてしまい、抜けない。抜き出し希望。,O99
電波が立たない時がある。バツ印 点検よろしくお願い致します。,O99
電源が入らなくなることが時々ある,O99
充電が出来ない為電源が入らない,O99
テザリングが使えない、再起動ic脱着しても改善なし。,O99
半年前より、充電のヘリがはやい。100%あった充電が、利用してないのに、50%になっている。,O99
電池の持ちが悪い。朝満充電した状態から何も操作せずに置いておいて夕方には電源が落ちてしまう。,O99
googleロック解除,O99
充電が急速充電器を使ってもなかなか満タンにならない、,O99
充電の減りが異様に早い。朝満充電にしても(操作はほとんどしてないのに)夕方には数パーセントになる。異常がないか確認をお願いします。 異常がない場合もしくは電池パックの交換で改善する場合は交換をご希望です。,O99
下り音声不通・通話の際相手の声が聞こえない、ディスプレイ操作少し不具合あり,O99
wi−fiが繋がらないとのご相談。店頭では、wi−fi接続可能を確認。ただし、他店スタッフの操作により、設定も変えられた。とのことですので、点検もかねて修理をご希望。満充電での返却希望。,O99
充電不能,O99
発着信不可,O99
充電しても反応しない。,O99
電源が入らない。,O99
充電器を差すと、一時的に点灯するものの、角度によって充電出来たりできなかったりする。現在はほぼ充電不可。,O99
コネクタキャップ破損,O99
1.simカードが刺さらず飛び出してしまう。 2.sd、sim挿入口フタが取れている。,O99
電源再起動しても2分後程でエラー音とエラー表示がでてしまう。,O99
角度によって充電ができない、充電器変えても改善なし,O99
画面ひび割れ、修理完了時フル充電希望,O99
sim飛び出す,O99
画面にケーブルを抜いてください表示がよく出て、勝手に音出ます。,O99
電話が終わった後に不在になる。また触ってないのに※を押したことになっている,O99
充電中に熱くなる。,O99
歩数計がカレンダーに反映されなくなった(1月13日〜),O99
雨に濡れた。電源入れると警報がなる,O99
水濡れ反応あり。実際に水没したかどうかは不明。,O99
コネクタキャップ破損の為修理希望。,O99
icカード挿入不可。,O99
pdfデータが開けない,O99
ホームボタンが潰れている。接続端子の蓋が破損。,O99
今日いきなりicカードが抜けて差し込めない状態で何もできない。,O99
通話品質その他・音声通話不良・一カ月前から通話機能が不安定,O99
コネクタキャップ、ic挿入口のキャップの取り付け希望,O99
充電しても電源がつかない。全体的に点検お願いします。,O99
microusb端子部分のキャップがうまく閉まらなくなっている。他にもカメラのピントがうまく合わないことが多いとお客様からご申告。 ◎保護フィルムがはがれてしまう場合でもお客様へ連絡をお願いします。,O99
前日の万歩計が保存されない。,O99
コネクタキャップ破損,O99
開閉するときに勝手に電源が落ちて勝手に再起動する,O99
端末操作不可(「覆っているものをはずしてください」メッセージ),O99
icカードが挿入できない、飛び出てくる。,O99
メールのデコレーションメール使用時フリーズする,O99
画面のロックがパターンでのロックに変わってしまっていてロックの解除ができないためオールリセット希望。画面のフィルムはそのままのこしてほしいと希望いただいてます。満充電で返却をお願いします,O99
アカウントが不明でログインできない。リセット希望,O99
画面を覆ってないのに覆わないでくださいとなる,O99
液晶破損。,O99
フリーズ・画面フリーズ,O99
購入当初から操作をしようとしたら画面が真っ暗になり操作できない。安サポなし。メーカー保証が1年なので対象内。返却時フル充電希望。,O99
再起動を繰り返す。満充電にて返却希望。,O99
画面が外れた,O99
防水加工なのに、水濡れ反応で現在利用不可。カメラ内部にも水滴が確認できるため浸水している。現在、電源は入っているようだが画面は一切うつらず、操作不可。また、購入当初よりインターネットにつながらないなど不具合がある。,O99
icの認識ができないことがあり、歩数計が反応しないので、アップデートで改善するとのことでしたが、ezの加入がないためアップデートをお願いします。,O99
水濡れで警報が鳴る,O99
センサー不良「手など覆っているものをはずしてください」と出る,O99
充電口キャップなし,O99
充電の持ちが悪い。週に1〜2回電話する。1回の通話が2〜3分。通話にしか使ってない。今月に入って急に減りが早くなった。アップデートなどがあればお願いします。,O99
simの脱着などしても電波が立たない時がある。,O99
lcd破損・液晶割れ,O99
満充電しても、勝手に電源が減ってしまう。電源も落ちる。前回、お届けサービスで交換したばかりで、同じような症状が発生する。 ◎ケータイが異常に熱くなる!!,O99
オールリセット設定エラーにより不可、サポートセンターの特殊操作でもリセット不可、オールリセットお願いします。,O99
googleアカウントが消えない,O99
総点検希望,O99
電源がいきなり切れる。その後電源を投入しても再起動を繰り返し待受けに行くまで時間がかかる。,O99
画面割れ、充電差込口の蓋が取れたとの事。,O99
充電がとても不安定な状態です。よろしくお願いします。,O99
歩数計が翌日になるとリセットされてしまうということなので点検含め修理お願いいたします。,O99
操作しているときにホームボタンを押していてもホーム画面に戻らない電池も急にヘリが早くなっているアラームもなっていないとおっしゃってます何回も修理に出していて直ったと書いてあるのに全然直ってないと客様が怒られていますちゃんと直してくださいと仰ってましたのでお願いします ◎1カ月でもいいので、もっとちゃんと見てくださいと仰ってました。,O99
通常リセット後、googleアカウントを求められる。初期化希望。,O99
1.eメールの画面でメールするとき絵文字のが使えません。2.インターネットで履歴で開こうとするときに、たまに開けません。3.電源がたまに勝手に落ちます。4.ロック番号が合ってもたまにロック解除できません。,O99
点検希望。,O99
携帯電話を落としてしまい破損されてしまった。ヒンジ部が見えてる状態です。,O99
電池の消費が早いとの申告。端末を確認したところ、背面ディスプレイのバックライトがすぐに消えない症状を確認。店頭で確認した際には時計の時間が進むと消灯した。また背面ディスプレイの時計が暫く固まるとの申告も頂いた。お客様了承の上、電源の入り切り、端末の初期化も実施したが改善できず。購入して2ヶ月程度しか経っていない為無償修理希望。,O99
ご購入から2回目の修理。icカードが浮いてしまい未挿入エラーが発生する。icカード故障再発行し一時的に回復したが、再びエラーが出てしまうことがある。。充電をしても満タンにならない。購入からまだ日数浅いものの2度目の修理なので、お客様のご納得がいく修理点検をお願いします。,O99
待受け画面に天気予報表示不能・歩数計カウント表示不能,O99
総点検希望,O99
通話時相手側の声が聞こえずらい。音量を最大にしても聞こえずらい。満充電での返却希望。,O99
lcd表示不良・操作内容かかわらず画面が黒くなりパスコードを入力する画面に戻る(半年くらい前からの症状),O99
リセットできない,O99
相手の声が聞こえない。マナーモードにならない。,O99
機体破損による操作不良と、icカード読み取り不良。,O99
1時間に1回、再起動を勝手に行う。,O99
オールリセット不可。初期設定でgoogleアカウントログインを求められる。,O99
イヤホン部分、充電部分のコネクタが取れた。相手から電話がかかってきても繋がらない 今回で2度目,O99
数週間前から急に出た。始めは電源offで改善したようです。最近はonoffでも不可。無料希望。有償時、見積もり要。,O99
場所にもよりますが自分の声が相手に聞こえない。,O99
通話をしていると勝手にスピーカーに切り替わる,O99
①ホームキーが、何度か押さないと反応しない。②充電が100%までされない。,O99
充電が40%になると電源が落ちる。問題ないか点検お願いします。,O99
2月16日から突然カメラの使用ができなくなった。データ削除とキャッシュの消去も試していますが改善がありません。ロック解除(ロックはスライドで解除)の際にフィルム貼っていない・センサー付近に何もないにも関わらず「端末の操作はできません。手など覆っているものを外してください。」と表示が出てしまう。もう一回電源ボタンを押すと通常通りロックの解除が可能になる。,O99
初期化希望,O99
playストアで検索に特定の文字列を入力すると「予期せぬエラーが発生しました」と表示され、アプリが終了してしまう。さらに検索中にキーボードの設定が開けない。,O99
水に落としたので異常ないか点検してほしい,O99
総点検希望,O99
水没。操作、電源投入不可。,O99
音声通話不具合につき先日ic故障再発行をしたばかりだが、通話ができたり出来なかったりと不安定で改善が見られない。,O99
電源投入不可,O99
表示されない,O99
全体的に外観破損が有り、画面が点かない状態です。,O99
初期設定wi−fiネットワーク選択画面から先に進めない。保守用simでも不可。店頭のwi−fi繋いでも不可。,O99
電池もちが悪い。急に電源が落ちることもたまにある。40%くらいあった電池残量が触ってないのに急に0%まで下がった。,O99
温度異常エラー表示が出る。本体は発熱していない状態で発生。,O99
12月17日から歩数計前日の記録が0歩になっていて記録が保存されていない。電話のみの契約でアップデート不可、中のデータ消去はしたくない為消去必須の際は必ずお客様へ連絡をお願い致します。,O99
再起動を繰り返す。キャップの取り付けお願いします。バッテリーが弱ってきている。,O99
操作中や画面ロック解除をする時などに「端末の操作はできません。手などで覆っているものを外してください。」と表示が出て操作ができなくなる。保護フィルムも張っていないしオールリセットをしても改善なし。何度か画面ロック解除を試してみると数回に1回は画面が開けて操作が出来る状態。点検・改善をよろしくお願いいたします。,O99
無料のウイルス対策アプリを使っていて、「ウイルスに感染しています」の表示が出た。(ウイルスバスターforauではない。)「問題が発生したため○○を終了します」と複数のアプリのエラーが出る。画面からプレイストアが消えた。,O99
コネクタキャップ破損,O99
液晶破損,O99
コネクターキャップが外れている。,O99
以前水没したことがあり、昨日の夜から再起動を繰り返し、電源がつかなくなった。,O99
操作中に電源が切れる,O99
サポートセンター相談済み。入念に点検を行っていただきたい。,O99
 ◎充電キャップの破損,O99
プリセットデータ初期化希望,O99
起動不可。充電ランプ点灯せず。usbコネクタカバーなし。,O99
歩数計がきちんとカウントされないという症状です。以前修理に出された際には、バージョンアップで直ると未修理で返却されましたが改善がないため保守窓口に確認したところセンサーの問題かもしれないとの事でしたので点検をお願いします。,O99
電源が入らない,O99
