36027
183	%	633
146	(	1620
33	)	1441
631	)。	136
720	,	104
227	.	130
452	/	554
405	0	306
228	1	1623
433	10	390
184	100	222
674	11	176
409	12	233
241	13	50
714	15	94
385	16	53
410	17	66
680	18	66
34	2	1296
474	20	151
434	2016	92
530	2017	105
299	3	942
544	30	222
328	4	476
383	40	76
435	5	362
185	50	106
673	6	148
35	7	180
36	8	171
498	9	150
447	:	127
133	ac	263
558	android	352
37	au	221
499	c	99
329	e	480
211	fi	211
538	g	83
196	google	480
3	ic	3628
120	lcd	458
552	line	73
373	off	203
642	ok	287
500	on	137
531	q	214
177	sd	262
38	sim	1177
579	sms	77
791	urbano	57
422	usb	99
212	wi	212
612	wifi	131
379	①	251
380	②	210
599	③	98
186	あっ	447
461	あと	168
39	あり	1141
40	ある	3171
300	あれ	66
4	い	3216
740	いか	111
352	いく	78
317	いたし	862
273	いただい	199
418	いただき	122
5	いる	4392
715	うち	131
286	うつら	94
466	おかけ	56
519	おら	67
448	おり	477
255	お客様	719
588	お待ち	53
449	お知らせ	62
6	お願い	4406
370	かかっ	308
7	かかる	288
362	かかわら	77
487	かけ	279
489	かける	82
520	か月	388
41	き	872
734	きか	148
696	きこえ	52
602	きれ	91
747	きれる	54
237	ください	520
270	くる	269
82	こ	63
755	ここ	66
501	こちら	203
42	こと	2731
606	ごろ	58
83	さ	3020
536	さし	166
574	さす	62
8	し	11569
78	しまい	772
84	しまう	2431
9	しまっ	1854
278	しよ	277
424	しれ	56
479	すべて	148
43	する	4235
787	すれ	79
684	ずれ	69
190	せ	788
669	そう	243
10	そこ	75
249	その他	795
44	その後	329
575	それ	211
721	たた	88
603	たっ	95
659	たつ	58
330	たま	125
11	ため	1300
473	つい	320
25	つか	761
754	つき	53
537	つく	191
670	つけ	57
287	つながら	145
187	て	399
333	てる	390
106	で	293
134	でき	4094
288	できる	505
26	でる	232
266	とき	894
45	ところ	404
789	とも	56
494	とれ	121
667	なおし	65
512	なおす	55
165	なくなっ	134
482	なくなる	123
85	なっ	3950
585	なに	76
197	なら	492
110	なり	982
111	なる	2426
86	の	896
786	はいら	57
256	はがれ	156
752	はず	71
735	はずれ	90
234	ひび割れ	54
453	ほか	127
46	まま	504
559	み	309
776	みたい	96
723	もた	142
169	もち	130
646	もっ	52
268	もの	281
792	もらっ	58
87	よう	1401
359	らい	73
47	られ	490
323	られる	128
88	れ	2744
12	れる	773
432	わから	66
705	わけ	88
545	アウト	63
276	アカウント	427
613	アクセス	55
640	アダプタ	129
293	アップデート	237
170	アプリ	542
319	アラーム	76
597	アンテナ	82
444	アンドロイド	69
587	イヤ	163
289	インターネット	140
27	エラー	1083
460	エラーメッセージ	95
358	カウント	114
115	カバー	157
13	カメラ	983
438	カメラアプリ	58
14	カード	3377
250	カ月	86
15	キャップ	221
764	キャンセル	61
381	キー	1212
739	クリア	100
688	グーグル	83
439	グーグルアカウント	100
730	ケース	96
304	ケータイ	75
238	ケーブル	100
371	コネクタ	263
131	コネクタキャップ	810
415	コネクターキャップ	86
363	コード	56
783	コール	54
677	サブ	1064
279	サポ	95
307	サポート	134
89	サービス	720
699	シャット	86
48	ショップ	114
168	シール	86
766	スイッチ	89
523	スキップ	63
116	スピーカー	831
668	スロット	62
296	センサー	131
308	センター	138
632	セーフ	108
570	ソフトウェア	168
639	タッチ	137
486	タッチパネル	109
649	タブレット	65
198	タン	189
700	ダウン	85
555	チェック	153
750	テスト	77
206	ディスプレイ	1857
171	データ	420
539	データ通信	86
685	トレイ	90
156	トレー	129
637	ネット	170
399	ネットワーク	82
746	ノイズ	95
759	バイブ	79
338	バック	102
412	バッテリー	592
164	パスワード	73
201	パック	784
628	パネル	108
202	パーセント	99
634	ヒビ	88
334	ヒンジ	104
257	ピント	52
258	フィルム	76
229	フタ	70
272	フリーズ	479
235	フル	348
135	ホルダ	163
372	ホン	215
172	ホーム	279
147	ボタン	2397
765	マイク	59
367	マナー	84
712	マーク	209
596	メイン	1039
49	メッセージ	126
524	メニュー	58
702	メモリ	53
280	メーカー	140
125	メール	1064
368	モード	291
339	ライト	126
423	ランプ	1115
274	リセット	959
751	リニューアル	113
277	ログイン	152
676	ロゴ	233
79	ロック	448
340	ヶ月	220
50	一	709
290	一切	177
222	一時	315
729	一瞬	57
148	一部	146
264	万	68
341	上	299
600	上げ	91
774	上り	176
778	上下	78
534	上記	156
624	上部	153
683	下	410
562	下さい	95
784	下り	69
136	下部	54
528	不備	316
0	不具合	544
80	不可	3762
710	不可能	72
251	不安定	285
245	不明	154
1	不能	711
121	不良	2292
207	不通	301
51	中	2616
342	了承	133
314	事	725
476	事故	73
629	事象	52
52	二	159
137	交換	2400
454	今	204
53	今回	226
772	今朝	54
213	他	275
563	付い	91
745	付か	72
429	代用	189
515	代金	67
28	以上	240
726	以下	55
686	以内	69
416	以前	650
576	以外	130
651	以降	113
757	位	59
162	体	211
54	何	1082
463	作動	118
790	作成	52
614	併せ	110
650	使う	62
182	使え	365
440	使える	63
769	使お	55
199	使っ	311
620	使わ	54
138	使用	899
577	依頼	115
400	保守	138
281	保証	83
259	保護	61
16	修理	3408
360	側	467
607	傷	172
522	元	64
2	充電	7625
401	先	391
396	先日	62
731	先月	53
291	入っ	849
132	入ら	1441
29	入り	211
343	入り切り	60
471	入る	611
178	入れ	422
244	入れる	166
364	入力	252
419	入念	96
581	全て	72
254	全体	242
282	内	149
365	内容	172
292	内部	216
697	円	135
55	再現	324
542	再生	54
564	再発	275
455	写真	118
56	出	1298
425	出さ	57
320	出し	469
297	出る	542
90	出来	1112
413	出来る	118
233	分	374
767	切	59
704	切っ	110
641	切り	92
679	切る	117
57	切れ	1140
310	切れる	852
324	初期	1048
716	別	117
648	利か	116
91	利用	1061
386	削除	61
188	前	1409
139	前回	414
689	剥がれ	191
737	剥離	73
303	割れ	469
615	劣化	76
568	効か	255
496	効き	52
478	動か	226
553	動き	52
484	動く	75
475	動作	239
543	動画	100
92	勝手	1210
325	化	592
728	十	52
777	十字	327
625	半分	144
189	半年	136
608	半日	115
140	卓上	251
586	原因	214
682	去年	79
149	反応	1850
775	反転	79
253	取り付け	97
117	取れ	446
695	受け	101
532	受付	84
592	受信	222
626	受話	122
230	口	237
657	可	96
141	可能	634
630	台	52
609	右	128
644	各部	100
260	合わ	53
480	同様	226
318	含め	140
782	品	101
622	問い合わせ	70
741	問わ	58
384	問題	597
200	器	879
301	回	776
353	回復	104
663	回線	167
653	固まっ	57
643	固定	60
112	圏外	399
526	基盤	127
167	場合	451
378	場所	169
467	塗装	106
713	増え	137
707	壊れ	63
93	声	2235
214	変え	225
275	変わっ	59
502	変わら	135
717	変化	54
458	変更	239
191	夕方	90
770	外	89
387	外し	118
17	外れ	839
516	外れる	92
743	外傷	50
556	外装	434
703	外部	56
525	多発	67
58	夜	142
771	大変	113
411	契約	68
374	始め	61
236	完了	329
655	完全	67
344	実施	254
551	家族	52
456	容量	61
436	対応	539
660	届い	90
604	届か	177
591	届く	52
94	届け	208
331	履歴	182
315	差	63
248	差し	103
518	差し込み	82
636	差し込ん	60
18	希望	3224
457	帳	147
671	常時	246
283	年	355
215	店	123
446	店舗	104
59	店頭	778
60	度	629
468	引き渡し	175
173	強制	718
95	当初	317
503	待ち受け	361
311	待受け	55
142	後	1388
492	必要	76
578	念	85
652	念入り	84
749	思い	52
527	思わ	94
302	急	842
431	急激	52
143	性	205
664	情報	137
557	感じ	178
773	感覚	190
690	感触	157
96	戻っ	333
366	戻る	203
179	所	58
298	手	89
109	投入	1979
788	折れ	50
239	抜い	76
517	抜き差し	345
382	押さ	97
19	押し	995
388	押す	218
760	押せ	405
483	持た	319
192	持ち	703
582	持っ	127
427	持つ	63
437	挿し	218
231	挿入	702
216	接続	486
732	接触	157
335	携帯	365
535	撮影	111
61	操作	2415
20	改善	3394
354	故障	809
203	数	296
392	文字	175
601	文言	57
469	料金	55
742	新品	127
541	方	208
62	日	1564
548	早急	69
158	映ら	430
727	昨年	54
417	昨日	287
159	時	3741
345	時計	175
312	時間	709
678	普通	80
571	更新	164
97	最初	172
63	最大	70
623	最新	55
375	最近	210
64	月	819
561	有	130
397	有り	151
376	有償	204
193	朝	313
780	期間	52
756	未満	59
724	本	84
65	本体	1330
504	本日	117
762	来	71
505	来店	235
687	案内	68
490	検査	222
393	検索	100
321	様	203
565	様子	127
635	横線	162
430	機	397
150	機体	62
144	機種	381
252	機能	307
572	次	67
441	正常	267
265	歩	91
242	歩数	357
406	残	308
442	残っ	86
521	残ら	60
627	毎回	99
573	毎日	51
566	気	176
718	気づい	89
118	水	397
246	水没	250
326	求め	142
725	決定	110
694	洗濯	50
157	浮い	363
126	消え	500
514	消える	126
174	消去	124
346	消灯	52
21	消耗	84
151	液晶	1145
495	清掃	225
665	済	166
420	済み	555
305	減っ	157
204	減り	706
513	減る	92
30	温度	122
753	漏れ	72
477	濡	68
119	濡れ	286
529	灯	119
506	点	73
560	点い	72
398	点か	128
550	点く	54
127	点検	3500
66	点滅	301
223	点灯	594
166	為	824
589	無し	175
347	無償	287
428	熱	135
394	特定	161
309	特殊	52
128	状態	2357
507	状況	164
224	現在	99
402	用	121
261	申告	464
31	画面	6748
698	番	81
332	番号	150
666	異なる	91
205	異常	383
67	症状	2354
220	発	343
554	発信	437
408	発熱	201
68	発生	873
355	発行	1006
618	登録	108
225	的	555
356	目	165
322	直し	149
426	直る	57
590	直後	68
758	直接	67
208	相手	2465
217	相談	76
284	真っ暗	1021
779	真っ白	67
152	真っ黒	308
672	真ん中	69
221	着信	1239
656	知ら	86
748	砂嵐	129
122	破損	2390
488	破棄	50
69	確認	1358
633	秒	153
567	移動	135
348	程度	147
180	立た	136
546	立ち	131
445	立ち上がら	200
681	立ち上がる	69
123	端子	157
107	端末	722
153	等	512
163	筐	210
621	箇所	68
357	納得	52
616	純正	75
540	紛失	156
708	終	95
395	終了	388
349	経っ	93
744	経つ	72
491	経過	66
511	総合	169
593	線	278
594	縦	172
218	繋がら	94
313	繰り返し	352
285	繰り返す	438
194	置い	73
658	者	79
693	耳	64
722	聞き取り	63
98	聞こえ	2248
465	聞こえる	779
129	背面	85
175	脱着	497
176	自体	108
99	自分	622
701	自動	54
605	自宅	202
647	自然	146
661	自身	84
736	至急	91
181	致し	1059
781	色	56
195	落ち	1053
306	落ちる	802
336	落とし	473
464	落下	283
611	行い	76
70	行う	110
421	行っ	349
768	衝撃	105
108	表示	3700
645	表記	61
414	複数	53
269	覆っ	87
71	見	388
337	見え	165
692	見る	65
22	見積もり	406
761	見積り	71
226	角度	74
81	解除	217
240	触っ	57
691	言わ	90
243	計	361
219	設定	984
389	試し	329
662	試す	68
709	話	109
72	詳細	140
294	認識	1072
610	誤	56
369	読み取り	52
763	読み込ま	87
73	読み込み	319
100	調べ	100
580	調子	127
584	警告	67
101	買っ	69
74	購入	1105
481	赤	58
102	起き	170
485	起きる	125
733	起こっ	60
154	起こる	164
75	起動	3058
316	込	51
617	近接	56
160	返却	1441
470	迷惑	59
508	送信	274
459	送受信	129
103	途中	211
